County,Dog,Cat
New Taipei City,180116,138551
Taipei City,126358,101635
Taichung City,139957,100532
Tainan City,77333,72290
Kaohsiung City,100266,88329
Taoyuan City,168774,107728
Yilan County,18749,12088
Hsinchu County,30656,15504
Miaoli County,43999,16823
Changhua County,64868,48473
Nantou City,37825,15559
Yunlin County,50389,38791
Chiayi County,34579,19413
Pingtung County,59796,21152
Taitung County,13674,9572
Hualien County,26597,22227
Penghu County,4466,3015
Keelung City,15949,15189
Hsinchu City,21975,14955
Chiayi City,13618,7133
Kinmen County,4899,1781
Lienchiang County,375,68
All,1235218,870810
